30 30
爷口口口口口口口口口口口口口口一口口口口口口口口口口口口口口
口口口口口口口口口口口口口口三口二口口口口口口口口口口口口口
口口口口口口口口口口口口口五口口口四口口口口口口口口口口口口
口口口口口口口口口口口口七口口口口口六口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口蝎口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口
蛇口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
move:1 16,2 16
move:0 15,1 15
move:2 17,3 17
move:1 14,2 14
move:2 13,3 13
move:3 18,4 18
move:3 12,4 12
move:0 0,1 0
move:29 10,28 10
move:28 11,27 11
move:27 10,26 10
move:26 11,25 11
move:25 10,24 10
move:24 11,23 11
move:29 0,28 0
move:23 10,22 10
move:4 12,5 12
move:1 0,2 0
move:3 13,4 13
move:2 14,3 14
move:3 17,4 17
move:1 15,2 15
move:2 16,3 16
move:4 18,5 18
move:23 11,22 11
move:28 0,27 0
move:25 11,24 11
move:24 10,23 10
move:26 10,25 10
move:27 11,26 11
move:28 10,27 10
move:22 10,21 10
move:5 12,6 12
move:3 16,4 16
move:4 17,5 17
move:2 15,3 15
move:3 14,4 14
move:4 13,5 13
move:5 18,6 18
move:2 0,3 0
move:27 10,26 10
move:26 11,25 11
move:25 10,24 10
move:23 10,22 10
move:24 11,23 11
move:22 11,21 11
move:27 0,26 0
move:21 10,20 10
move:6 12,7 12
move:3 0,4 0
move:6 18,7 18
move:5 17,6 17
move:4 16,5 16
move:5 13,6 13
move:3 15,4 15
move:4 14,5 14
move:21 11,20 11
move:23 11,22 11
move:26 0,25 0
move:22 10,21 10
move:26 10,25 10
move:24 10,23 10
move:25 11,24 11
move:20 10,19 10
move:5 14,6 14
move:7 12,8 12
move:6 17,7 17
move:4 15,5 15
move:5 16,6 16
move:4 0,5 0
move:6 13,7 13
move:7 18,8 18
move:22 11,21 11
move:20 11,19 11
move:25 0,24 0
move:21 10,20 10
move:25 10,24 10
move:23 10,22 10
move:24 11,23 11
move:19 10,18 10
move:6 16,7 16
move:5 15,6 15
move:5 0,6 0
move:8 12,9 12
move:7 13,8 13
move:7 17,8 17
move:8 18,9 18
move:6 14,7 14
move:24 0,23 0
move:20 10,19 10
move:24 10,23 10
move:21 11,20 11
move:22 10,21 10
move:23 11,22 11
move:19 11,18 11
move:18 10,17 10
move:6 15,7 15
move:7 16,8 16
move:6 0,7 0
move:9 12,10 12
move:8 13,9 13
move:8 17,9 17
move:9 18,10 18
move:7 14,8 14
move:23 0,22 0
move:19 10,18 10
move:23 10,22 10
move:20 11,19 11
move:21 10,20 10
move:22 11,21 11
move:18 11,17 11
move:17 10,16 10
move:7 15,8 15
move:8 16,9 16
move:10 12,11 12
move:7 0,8 0
move:9 13,10 13
move:10 18,11 18
move:9 17,10 17
move:8 14,9 14
move:22 0,21 0
move:18 10,17 10
move:22 10,21 10
move:19 11,18 11
move:20 10,19 10
move:21 11,20 11
move:17 11,16 11
move:16 10,15 10
move:8 15,9 15
move:9 16,10 16
move:11 18,12 18
move:10 13,11 13
move:11 12,12 12
move:8 0,9 0
move:10 17,11 17
move:21 0,20 0
move:17 10,16 10
move:9 14,10 14
