30 30 7 7
口口口口口口口口口口口口口口口一口口口口口口口口口口口口口口
口口口口口口口口口口口口口口三口二口口口口口口口口口口口口口
口口口口口口口口口口口口口五口口口四口口口口口口口口口口口口
口口口口口口口口口口口口七口口口口口六口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口怪口口口口口口口口口口口口口
口口口口口口口口口口口口口口口怪口口口口口口口口口口口口口口
口口口口口口口口口口口口口口怪口口口口口口口口口口口口口口口
口口口口口口口口口口口口口怪口口口口口口口口口口口口口口口口
口口口口口口口口口口口口怪口口口口口口口口口口口口口口口口口
口口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口

move:0 15,1 15
move:3 18,4 18
move:1 16,2 16
move:28 11,27 11
move:29 10,28 10
move:2 13,3 13
move:2 17,3 17
move:1 14,2 14
move:3 12,4 12
move:27 12,26 12
move:26 13,25 13
move:25 14,24 14
move:23 16,22 16
move:24 15,23 15
move:4 12,5 12
move:27 11,26 11
move:3 13,4 13
move:2 16,3 16
move:3 17,4 17
move:28 10,27 10
move:1 15,2 15
move:4 18,5 18
move:2 14,3 14
move:25 13,24 13
move:22 16,21 16
move:24 14,23 14
move:26 12,25 12
move:23 15,22 15
move:5 12,6 12
move:3 16,4 16
move:27 10,26 10
move:3 14,4 14
move:4 13,5 13
move:26 11,25 11
move:4 17,5 17
move:2 15,3 15
move:5 18,6 18
move:24 13,23 13
move:21 16,20 16
move:22 15,21 15
move:23 14,22 14
move:25 12,24 12
move:6 12,7 12
move:3 15,4 15
move:6 18,7 18
move:26 10,25 10
move:5 17,6 17
move:25 11,24 11
move:5 13,6 13
move:4 14,5 14
move:4 16,5 16
move:20 16,19 16
move:22 14,21 14
move:24 12,23 12
move:21 15,20 15
move:23 13,22 13
move:7 18,8 18
move:25 10,24 10
move:7 12,8 12
move:4 15,5 15
move:5 14,6 14
move:24 11,23 11
move:6 17,7 17
move:5 16,6 16
move:6 13,7 13
move:19 16,18 16
move:21 14,20 14
move:23 12,22 12
move:20 15,19 15
move:22 13,21 13
move:5 15,6 15
move:8 12,9 12
move:24 10,23 10
move:8 18,9 18
move:23 11,22 11
move:7 17,8 17
move:6 14,7 14
move:6 16,7 16
move:7 13,8 13
move:18 16,17 16
move:20 14,19 14
move:22 12,21 12
move:19 15,18 15
move:21 13,20 13
move:23 10,22 10
move:9 18,10 18
move:6 15,7 15
move:9 12,10 12
move:17 16,16 16
move:19 14,18 14
move:8 13,9 13
move:7 16,8 16
move:22 11,21 11
move:7 14,8 14
move:8 17,9 17
move:21 12,20 12
move:18 15,17 15
move:20 13,19 13
move:22 10,21 10
move:10 18,11 18
move:7 15,8 15
move:10 12,11 12
move:9 17,10 17
move:8 14,9 14
move:16 16,15 16
move:21 11,20 11
move:8 16,9 16
move:9 13,10 13
move:18 14,17 14
move:20 12,19 12
move:17 15,16 15
move:19 13,18 13
move:21 10,20 10
move:11 18,12 18
move:11 12,12 12
move:8 15,9 15
move:20 11,19 11
move:17 14,16 14
move:10 13,11 13
move:9 16,10 16
move:15 16,14 16
move:9 14,10 14
move:10 17,11 17
move:19 12,18 12
move:16 15,15 15
move:18 13,17 13
move:20 10,19 10
move:12 12,13 12
move:9 15,10 15
move:12 18,13 18
move:10 14,11 14
move:19 11,18 11
