30 30
爷口口口口口口口口口口口口口口一口口口口口口口口口口口口口口
口口口口口口口口口口口口口口三口二口口口口口口口口口口口口口
口口口口口口口口口口口口口五口口口四口口口口口口口口口口口口
口口口口口口口口口口口口七口口口口口六口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口蝎口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
口口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口
口口口口口口口口口口怪口口口口口口口口口口口口口口口口口口口
move:0 15,1 15
move:1 16,2 16
move:1 14,2 14
move:2 17,3 17
move:2 13,3 13
move:3 18,4 18
move:3 12,4 12
move:0 0,1 0
move:29 10,28 10
move:28 11,27 11
move:27 10,26 10
move:26 11,25 11
move:25 10,24 10
move:24 11,23 11
move:23 10,22 10
move:1 15,2 15
move:2 16,3 16
move:2 14,3 14
move:4 18,5 18
move:4 12,5 12
move:3 17,4 17
move:3 13,4 13
move:1 0,2 0
move:28 10,27 10
move:27 11,26 11
move:26 10,25 10
move:25 11,24 11
move:24 10,23 10
move:23 11,22 11
move:22 10,21 10
move:2 15,3 15
move:3 16,4 16
move:3 14,4 14
move:4 17,5 17
move:4 13,5 13
move:5 18,6 18
move:5 12,6 12
move:2 0,3 0
move:27 10,26 10
move:26 11,25 11
move:25 10,24 10
move:24 11,23 11
move:23 10,22 10
move:22 11,21 11
move:21 10,20 10
move:3 15,4 15
move:4 16,5 16
move:4 14,5 14
move:6 18,7 18
move:5 13,6 13
move:6 12,7 12
move:5 17,6 17
move:3 0,4 0
move:26 10,25 10
move:25 11,24 11
move:24 10,23 10
move:23 11,22 11
move:22 10,21 10
move:21 11,20 11
move:20 10,19 10
move:4 15,5 15
move:5 16,6 16
move:5 14,6 14
move:7 12,8 12
move:6 13,7 13
move:6 17,7 17
move:7 18,8 18
move:25 10,24 10
move:4 0,5 0
move:24 11,23 11
move:23 10,22 10
move:22 11,21 11
move:21 10,20 10
move:20 11,19 11
move:19 10,18 10
move:5 15,6 15
move:6 16,7 16
move:6 14,7 14
move:7 17,8 17
move:7 13,8 13
move:8 18,9 18
move:8 12,9 12
move:5 0,6 0
move:24 10,23 10
move:23 11,22 11
move:22 10,21 10
move:21 11,20 11
move:20 10,19 10
move:19 11,18 11
move:18 10,17 10
move:6 15,7 15
move:7 16,8 16
move:7 14,8 14
move:8 17,9 17
move:9 12,10 12
move:9 18,10 18
move:8 13,9 13
move:6 0,7 0
move:23 10,22 10
move:22 11,21 11
move:21 10,20 10
move:20 11,19 11
move:19 10,18 10
move:18 11,17 11
move:17 10,16 10
move:7 15,8 15
move:8 16,9 16
move:8 14,9 14
move:9 17,10 17
move:9 13,10 13
move:10 18,11 18
move:10 12,11 12
move:22 10,21 10
move:7 0,8 0
move:21 11,20 11
move:20 10,19 10
move:19 11,18 11
move:18 10,17 10
move:17 11,16 11
move:16 10,15 10
move:8 15,9 15
move:9 16,10 16
move:9 14,10 14
move:11 18,12 18
move:10 17,11 17
move:11 12,12 12
move:10 13,11 13
move:21 10,20 10
move:8 0,9 0
move:20 11,19 11
move:19 10,18 10
move:18 11,17 11
move:17 10,16 10
move:16 11,15 11
move:15 10,14 10
move:9 15,10 15
move:10 16,11 16
move:10 14,11 14
move:11 13,12 13
move:12 18,13 18
move:12 12,13 12
move:11 17,12 17
move:9 0,10 0
move:20 10,19 10
move:19 11,18 11
move:18 10,17 10
move:17 11,16 11
move:16 10,15 10
move:15 11,14 11
move:14 10,13 10
move:10 15,11 15
move:11 16,12 16
move:11 14,12 14
move:12 17,13 17
move:13 12,14 12
kill:14 12
move:13 18,14 18
move:12 13,13 13
move:10 0,11 0
move:19 10,18 10
move:18 11,17 11
move:17 10,16 10
move:16 11,15 11
move:15 10,14 10
move:14 11,13 11
move:13 10,12 10
move:11 15,12 15
move:12 16,13 16
move:12 14,13 14
move:13 13,13 12
move:14 18,15 18
move:13 17,13 18
kill:13 11
move:11 0,12 0
move:18 10,17 10
move:17 11,16 11
move:16 10,15 10
move:15 11,14 11
move:14 10,13 10
move:12 10,11 10
move:12 15,13 15
move:13 16,14 16
move:13 14,14 14
move:13 18,14 18
move:15 18,16 18
move:17 10,16 10
move:12 0,13 0
move:13 12,13 13
move:16 11,15 11
move:15 10,14 10
move:13 10,13 9
move:11 10,12 10
move:13 15,14 15
move:14 16,15 16
move:14 14,14 13
move:14 18,14 17
move:16 18,16 17
move:16 10,15 10
move:13 0,13 1
move:13 13,12 13
move:15 11,15 12
move:14 10,13 10
move:14 11,15 11
move:13 9,14 9
move:12 10,12 11
move:14 15,15 15
move:15 16,16 16
move:14 13,15 13
kill:15 13
move:16 17,15 17
move:14 17,13 17
move:13 1,13 2
move:15 10,16 10
move:12 13,12 12
kill:12 11
move:15 12,16 12
move:13 10,12 10
move:15 11,15 12
move:14 9,13 9
move:15 15,15 14
move:16 16,16 15
move:13 17,14 17
move:15 17,15 16
move:13 2,13 3
move:16 10,15 10
move:12 12,13 12
move:16 12,16 11
move:12 10,13 10
move:15 12,16 12
move:13 9,12 9
move:15 14,16 14
move:16 15,16 16
move:14 17,15 17
move:15 16,14 16
move:15 10,14 10
move:13 3,13 4
move:13 12,12 12
move:16 11,16 10
move:13 10,12 10
move:16 12,16 13
kill:16 13
move:12 9,11 9
move:16 14,16 15
move:16 16,15 16
move:15 17,14 17
move:14 16,14 15
move:13 4,14 4
move:14 10,13 10
move:12 12,13 12
move:16 10,16 11
move:12 10,11 10
move:11 9,12 9
move:16 15,16 14
move:15 16,16 16
move:14 17,13 17
move:14 15,13 15
move:14 4,13 4
move:13 10,14 10
move:13 12,12 12
move:16 11,16 12
move:11 10,12 10
move:12 9,12 8
move:16 14,17 14
move:16 16,16 15
move:13 15,14 15
move:13 17,14 17
move:13 4,12 4
move:14 10,13 10
move:12 12,11 12
move:16 12,17 12
move:12 10,11 10
move:12 8,12 7
move:17 14,17 13
kill:17 13
move:16 15,17 15
move:14 15,13 15
move:14 17,13 17
move:12 4,12 5
move:13 10,12 10
move:11 12,11 11
kill:11 10
move:17 12,16 12
move:12 7,12 6
kill:12 5
move:17 15,16 15
move:13 15,12 15
move:13 17,12 17
move:12 10,12 9
move:11 11,10 11
move:16 12,16 11
move:12 6,11 6
move:16 15,16 14
move:12 15,12 14
move:12 17,12 16
move:12 9,11 9
move:10 11,11 11
move:16 11,16 12
move:11 6,11 7
move:16 14,16 15
move:12 16,11 16
move:12 14,11 14
move:11 9,10 9
move:11 11,10 11
move:16 12,16 11
move:11 7,10 7
move:16 15,16 14
move:11 14,10 14
move:11 16,10 16
move:10 9,10 10
kill:10 11
move:16 11,16 12
move:10 7,10 8
move:16 14,17 14
move:10 16,10 15
move:10 14,10 13
move:10 10,9 10
move:16 12,17 12
move:10 8,10 9
move:17 14,17 15
move:10 13,9 13
move:10 15,9 15
move:9 10,9 11
move:17 12,18 12
move:10 9,9 9
move:17 15,18 15
move:9 13,9 12
move:9 15,9 14
kill:9 11
move:18 12,18 13
move:9 9,9 10
move:18 15,18 14
kill:18 14
move:9 14,9 13
move:9 12,8 12
move:18 13,19 13
move:9 10,10 10
move:9 13,10 13
move:8 12,9 12
move:19 13,18 13
move:10 10,9 10
move:10 13,9 13
move:9 12,10 12
move:9 10,8 10
move:10 12,9 12
move:9 13,8 13
move:18 13,19 13
move:8 10,8 11
move:9 12,8 12
kill:8 11
move:8 13,9 13
move:19 13,18 13
move:8 12,9 12
move:9 13,10 13
move:18 13,19 13
move:10 13,11 13
move:9 12,10 12
move:19 13,18 13
move:11 13,12 13
move:10 12,11 12
move:18 13,19 13
move:11 12,12 12
move:12 13,13 13
move:19 13,18 13
move:12 12,13 12
move:13 13,14 13
move:18 13,19 13
move:13 12,13 13
move:14 13,14 14
move:19 13,18 13
move:13 13,14 13
move:14 14,15 14
move:18 13,19 13
move:15 14,16 14
move:14 13,13 13
move:19 13,18 13
move:13 13,14 13
move:16 14,17 14
move:18 13,19 13
move:14 13,14 14
move:17 14,16 14
move:19 13,18 13
move:14 14,15 14
move:16 14,17 14
move:15 14,16 14
move:18 13,19 13
move:16 14,16 15
move:17 14,17 15
move:19 13,18 13
move:17 15,18 15
move:16 15,16 16
move:18 13,18 12
move:16 16,17 16
move:18 15,19 15
move:18 12,19 12
move:19 15,19 14
move:17 16,18 16
move:19 12,19 13
kill:19 14
